caller,callee
saveSummaries,writeFile
saveSummaries,log
saveSummaries,push
buildTree,readdir
buildTree,join
buildTree,sort
buildTree,includes
buildTree,join
buildTree,join
buildTree,repeat
buildTree,stat
buildTree,isDirectory
buildTree,push
buildTree,buildTree
buildTree,extname
buildTree,getFileIcon
buildTree,push
getDetailedFileTree,buildTree
getDetailedFileTree,join
analyzeFiles,readdir
analyzeFiles,join
analyzeFiles,join
analyzeFiles,join
analyzeFiles,includes
analyzeFiles,stat
analyzeFiles,isDirectory
analyzeFiles,analyzeFiles
analyzeFiles,isFile
analyzeFiles,extname
analyzeFiles,includes
analyzeFiles,analyzeFile
analyzeFiles,push
analyzeAllFiles,analyzeFiles
analyzeFile,readFile
analyzeFile,extname
analyzeFile,replace
analyzeFile,split
analyzeFile,extractJavaScriptFunctions
analyzeFile,extractImports
analyzeFile,extractExports
analyzeFile,extractPegJSRules
extractJavaScriptFunctions,forEach
anonymous_844,exec
anonymous_844,includes
anonymous_844,push
extractImports,exec
extractImports,push
extractImports,exec
extractImports,push
extractExports,exec
extractExports,push
extractExports,exec
extractExports,push
extractPegJSRules,exec
extractPegJSRules,push
analyzeFunctionCallHierarchy,readFile
analyzeFunctionCallHierarchy,join
analyzeFunctionCallHierarchy,flatMap
analyzeFunctionCallHierarchy,forEach
anonymous_931,includes
anonymous_931,includes
anonymous_931,push
anonymous_931,includes
anonymous_931,push
run,log
unknown_1268,cytoscape
unknown_1269,getElementById
unknown_1273,map
unknown_1277,map
run,hasUserCommitsInLast24Hours
run,log
run,log
run,all
run,collectProjectInfo
run,collectIssues
run,collectRecentChanges
run,loadPrompts
run,warn
run,generateSummaries
run,saveSummaries
run,log
unknown_1349,on
anonymous_1349,id
anonymous_1349,connectedEdges
anonymous_1349,connectedNodes
anonymous_1349,style
anonymous_1349,elements
anonymous_1349,style
anonymous_1349,style
anonymous_1349,style
run,log
anonymous_1349,setTimeout
run,join
anonymous_1366,style
anonymous_1366,elements
run,error
anonymous_1349,log
run,error
unknown_1374,on
run,exit
anonymous_1374,style
unknown_1009,run
anonymous_1374,elements
fitGraph,fit
resetLayout,run
resetLayout,layout
toggleLabels,update
toggleLabels,style
toggleLabels,selector
toggleLabels,style
toggleLabels,update
toggleLabels,style
toggleLabels,selector
toggleLabels,style
unknown_1408,log
